ledger_id,settlement_id,bank_txn_id,label,pattern,explanation
LED0001,STL0001,TXN0001,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0002,STL0002,TXN0002,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0003,STL0003,TXN0003,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0004,STL0004,TXN0004,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0005,STL0005,TXN0005,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0006,STL0006,TXN0006,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0007,STL0007,TXN0007,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0008,STL0008,TXN0008,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0009,STL0009,TXN0009,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0010,STL0010,TXN0010,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0011,STL0011,TXN0011,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0012,STL0012,TXN0012,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0013,STL0013,TXN0013,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0014,STL0014,TXN0014,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0015,STL0015,TXN0015,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0016,STL0016,TXN0016,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0017,STL0017,TXN0017,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0018,STL0018,TXN0018,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0019,STL0019,TXN0019,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0020,STL0020,TXN0020,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0021,STL0021,TXN0021,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0022,STL0022,TXN0022,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0023,STL0023,TXN0023,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0024,STL0024,TXN0024,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0025,STL0025,TXN0025,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0026,STL0026,TXN0026,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0027,STL0027,TXN0027,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0028,STL0028,TXN0028,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0029,STL0029,TXN0029,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0030,STL0030,TXN0030,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0031,STL0031,TXN0031,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0032,STL0032,TXN0032,match,clean_match,"Amounts, UTR and dates all align within expected settlement window."
LED0033,STL0033,TXN0033,match,fee_split_mismatch,"Ledger shows gross 7157.02, bank shows net 6945.88 after fee 178.93 + tax 32.21. Same order_id/UTR chain confirms match."
LED0034,STL0034,TXN0034,match,fee_split_mismatch,"Ledger shows gross 23678.52, bank shows net 22980.01 after fee 591.96 + tax 106.55. Same order_id/UTR chain confirms match."
LED0035,STL0035,TXN0035,match,fee_split_mismatch,"Ledger shows gross 12461.62, bank shows net 12094.0 after fee 311.54 + tax 56.08. Same order_id/UTR chain confirms match."
LED0036,STL0036,TXN0036,match,fee_split_mismatch,"Ledger shows gross 2556.71, bank shows net 2481.28 after fee 63.92 + tax 11.51. Same order_id/UTR chain confirms match."
